"Variables ->","GDP","CPI_U","CPIF_U","CPIE_U","CPIXFE_U","S","RS","GDP_RW_U","CPI_RW","RS_RW","D4L_CPI_TAR","WOIL_U","WFOOD_U","w_CPIF","w_CPIE","EMBI","UNEM","CPI","CPIF","CPIE","CPIXFE","GDP_RW","WOIL","WFOOD","L_CPI","L_CPIE","L_CPIE_U","L_CPIF","L_CPIF_U","L_CPIXFE","L_CPIXFE_U","L_CPI_RW","L_CPI_U","L_EMBI","L_GDP","L_GDP_RW","L_GDP_RW_U","L_S","L_WFOOD","L_WFOOD_U","L_WOIL","L_WOIL_U","L_w_CPIE","L_w_CPIF","L_Z","DLA_CPI","DLA_CPIE","DLA_CPIE_U","DLA_CPIF","DLA_CPIF_U","DLA_CPIXFE","DLA_CPIXFE_U","DLA_CPI_RW","DLA_CPI_U","DLA_EMBI","DLA_GDP","DLA_GDP_RW","DLA_GDP_RW_U","DLA_S","DLA_WFOOD","DLA_WFOOD_U","DLA_WOIL","DLA_WOIL_U","DLA_w_CPIE","DLA_w_CPIF","DLA_Z","D4L_CPI","D4L_CPIE","D4L_CPIE_U","D4L_CPIF","D4L_CPIF_U","D4L_CPIXFE","D4L_CPIXFE_U","D4L_CPI_RW","D4L_CPI_U","D4L_EMBI","D4L_GDP","D4L_GDP_RW","D4L_GDP_RW_U","D4L_S","D4L_WFOOD","D4L_WFOOD_U","D4L_WOIL","D4L_WOIL_U","D4L_w_CPIE","D4L_w_CPIF","D4L_Z","RR","RR_RW","RR_BAR","RR_GAP","L_Z_BAR","L_Z_GAP","RR_RW_BAR","RR_RW_GAP","DLA_Z_BAR","L_GDP_GAP","L_GDP_BAR","DLA_GDP_BAR","L_GDP_RW_BAR_PURE","L_GDP_RW_GAP_PURE","L_GDP_RW_BAR","L_GDP_RW_GAP"
"Comments ->","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Class[Size] ->","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]","tseries[88-by-1]"
"2002Q1",1.09711168e+05,4.94312366e+01,4.24111184e+01,3.75534161e+01,5.37013664e+01,2.28089478e+03,7.99444000e+00,6.15950401e+01,7.06787936e+01,1.73333333e+00,6.00000000e+00,3.14212772e+01,5.67742510e+01,2.28030007e-01,1.05004931e-01,5.52546875e+00,1.54000000e+01,4.91452458e+01,4.20907601e+01,3.72545838e+01,5.34528749e+01,6.28339671e+01,3.20843348e+01,5.45303767e+01,3.89478011e+02,3.61777499e+02,3.62576435e+02,3.73982824e+02,3.74741055e+02,3.97880042e+02,3.98343845e+02,4.25814558e+02,3.90058255e+02,1.70936809e+02,1.16056064e+03,4.14049580e+02,4.12058135e+02,7.73232309e+02,3.99875792e+02,4.03908290e+02,3.46836790e+02,3.44748528e+02,-2.25374797e+02,-1.47827805e+02,8.09568856e+02,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.25307873e+02,-1.57390176e+01,NaN,NaN,NaN,8.18022798e-01,1.16403971e+03,NaN,4.13843855e+02,2.05725846e-01,4.13843855e+02,2.05725846e-01
"2002Q2",1.13275551e+05,5.03183911e+01,4.42471514e+01,3.82273995e+01,5.42976679e+01,2.31108549e+03,6.09615000e+00,6.36555902e+01,7.11143492e+01,1.75000000e+00,6.00000000e+00,3.72508698e+01,5.94319123e+01,2.28030007e-01,1.05004931e-01,5.53246154e+00,1.55300000e+01,5.00298471e+01,4.36168963e+01,3.80279573e+01,5.41044555e+01,6.36606088e+01,3.68590484e+01,6.01053600e+01,3.91261977e+02,3.63832161e+02,3.64355252e+02,3.77544460e+02,3.78979099e+02,3.99091654e+02,3.99448128e+02,4.26428913e+02,3.91837064e+02,1.71063284e+02,1.16375786e+03,4.15356599e+02,4.15348715e+02,7.74547260e+02,4.09609902e+02,4.08483133e+02,3.60710113e+02,3.61767530e+02,-2.25374797e+02,-1.47827805e+02,8.09714197e+02,7.13586211e+00,8.21864607e+00,7.11526954e+00,1.42465453e+01,1.69521760e+01,4.84644621e+00,4.41713268e+00,2.45742186e+00,7.11523756e+00,5.05902190e-01,1.27888751e+01,5.22807271e+00,1.31623194e+01,5.25980518e+00,3.89364416e+01,1.82993717e+01,5.54932945e+01,6.80760055e+01,0.00000000e+00,0.00000000e+00,5.81364926e-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.24142724e+02,-1.44285275e+01,NaN,NaN,-4.66059558e+00,9.04593337e-01,1.16518652e+03,4.58724175e+00,4.14679413e+02,6.77185586e-01,4.14679413e+02,6.77185586e-01
"2002Q3",1.12668083e+05,5.05570116e+01,4.42953738e+01,3.85750955e+01,5.45842114e+01,2.63464467e+03,5.25000000e+00,6.31774994e+01,7.15895007e+01,1.74000000e+00,6.00000000e+00,3.91455918e+01,6.40261825e+01,2.28030007e-01,1.05004931e-01,8.42636364e+00,1.54700000e+01,5.07266476e+01,4.47143229e+01,3.87045154e+01,5.47266340e+01,6.32316218e+01,3.81177105e+01,6.55647848e+01,3.92645137e+02,3.65595627e+02,3.65260687e+02,3.80029387e+02,3.79088024e+02,4.00235050e+02,3.99974467e+02,4.27094843e+02,3.92310164e+02,2.13136532e+02,1.16322015e+03,4.14680452e+02,4.14594822e+02,7.87650360e+02,4.18303874e+02,4.15929210e+02,3.64067902e+02,3.66728782e+02,-2.25374797e+02,-1.47827805e+02,8.22100066e+02,5.53263853e+00,7.05386465e+00,3.62173969e+00,9.93970733e+00,4.35699566e-01,4.57358537e+00,2.10535838e+00,2.66371682e+00,1.89240127e+00,1.68292991e+02,-2.15087154e+00,-2.70458605e+00,-3.01557328e+00,5.24123996e+01,3.47758853e+01,2.97843103e+01,1.34311533e+01,1.98450092e+01,0.00000000e+00,0.00000000e+00,4.95434779e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.22967739e+02,-8.67672261e-01,NaN,NaN,-4.69994312e+00,7.40505145e-01,1.16637138e+03,4.73945605e+00,4.15515100e+02,-8.34647943e-01,4.15515100e+02,-8.34647943e-01
"2002Q4",1.13554474e+05,5.13213816e+01,4.57091495e+01,3.91029374e+01,5.51637930e+01,2.79253391e+03,5.25000000e+00,6.50124701e+01,7.19854604e+01,1.44333333e+00,6.00000000e+00,3.87550673e+01,6.48194422e+01,2.28030007e-01,1.05004931e-01,7.83333333e+00,1.61300000e+01,5.17420313e+01,4.62978494e+01,3.94808634e+01,5.54694070e+01,6.36921306e+01,3.94019677e+01,6.52579338e+01,3.94627044e+02,3.67581608e+02,3.66619759e+02,3.83509551e+02,3.82229849e+02,4.01583164e+02,4.01030681e+02,4.27646416e+02,3.93810746e+02,2.05838813e+02,1.16400379e+03,4.15406102e+02,4.17457910e+02,7.93470468e+02,4.17834763e+02,4.17160559e+02,3.67381576e+02,3.65726152e+02,-2.25374797e+02,-1.47827805e+02,8.26489840e+02,7.92762845e+00,7.94392549e+00,5.43628653e+00,1.39206549e+01,1.25672975e+01,5.39245686e+00,4.22485647e+00,2.20629353e+00,6.00232712e+00,-2.91908746e+01,3.13459860e+00,2.90259846e+00,1.14523534e+01,2.32804288e+01,-1.87644222e+00,4.92539617e+00,1.32546958e+01,-4.01052105e+00,0.00000000e+00,0.00000000e+00,1.75590938e+01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.21764061e+02,4.72577858e+00,NaN,NaN,-4.81470953e+00,3.42186650e-01,1.16759304e+03,4.88665426e+00,4.16351467e+02,-9.45365742e-01,4.16351467e+02,-9.45365742e-01
"2003Q1",1.14304877e+05,5.29708169e+01,4.69258005e+01,4.15775317e+01,5.68312833e+01,2.93781822e+03,6.03889000e+00,6.28512086e+01,7.28169756e+01,1.25000000e+00,5.50000000e+00,4.48338940e+01,6.37415596e+01,2.28030007e-01,1.05004931e-01,6.46359375e+00,1.40700000e+01,5.26705369e+01,4.65693626e+01,4.12588277e+01,5.65742386e+01,6.41292023e+01,4.58596611e+01,6.12311167e+01,3.96405623e+02,3.71986510e+02,3.72755992e+02,3.84094287e+02,3.84856764e+02,4.03555373e+02,4.04008694e+02,4.28794911e+02,3.96974114e+02,1.86618547e+02,1.16466245e+03,4.16089983e+02,4.14077016e+02,7.98542248e+02,4.11465550e+02,4.15483678e+02,3.82558589e+02,3.80296442e+02,-2.25374797e+02,-1.47827805e+02,8.30931537e+02,7.11431635e+00,1.76196047e+01,2.45449312e+01,2.33894401e+00,1.05076623e+01,7.88883587e+00,1.19120490e+01,4.59397995e+00,1.26534708e+01,-7.68810645e+01,2.63462670e+00,2.73552723e+00,-1.35235736e+01,2.02871233e+01,-2.54768506e+01,-6.70752594e+00,6.07080521e+01,5.82811602e+01,0.00000000e+00,0.00000000e+00,1.77667869e+01,6.92761136e+00,1.02090102e+01,1.01795567e+01,1.01114629e+01,1.01157088e+01,5.67533108e+00,5.66484913e+00,2.98035304e+00,6.91585920e+00,1.56817386e+01,4.10180722e+00,2.04040309e+00,2.01888147e+00,2.53099392e+01,1.15897585e+01,1.15753881e+01,3.57217989e+01,3.55479135e+01,0.00000000e+00,0.00000000e+00,2.13626809e+01,-8.88721358e-01,-1.73035304e+00,4.30182362e-01,-1.31890372e+00,8.20512295e+02,1.04192413e+01,-1.22349079e+00,-5.06862252e-01,-5.00706398e+00,-1.33546694e-01,1.16884925e+03,5.02483059e+00,4.17188545e+02,-1.09856191e+00,4.17188545e+02,-1.09856191e+00
"2003Q2",1.16015686e+05,5.37666442e+01,4.78274057e+01,4.25891168e+01,5.75569779e+01,2.86959648e+03,6.94231000e+00,6.43430219e+01,7.25002079e+01,1.24666667e+00,5.50000000e+00,3.78011967e+01,6.27199326e+01,2.28030007e-01,1.05004931e-01,4.85907692e+00,1.38700000e+01,5.34652634e+01,4.71593043e+01,4.23938273e+01,5.73665164e+01,6.43370858e+01,3.74041473e+01,6.33520960e+01,3.97903216e+02,3.74700277e+02,3.75159875e+02,3.85353132e+02,3.86759882e+02,4.04946080e+02,4.05277538e+02,4.28358943e+02,3.98465328e+02,1.58084849e+02,1.16614807e+03,4.16413623e+02,4.16422849e+02,7.96192670e+02,4.14870799e+02,4.13867930e+02,3.62178159e+02,3.63234076e+02,-2.25374797e+02,-1.47827805e+02,8.26648397e+02,5.99037321e+00,1.08550700e+01,9.61553130e+00,5.03538158e+00,7.61246989e+00,5.56282483e+00,5.07537594e+00,-1.74387196e+00,5.96485702e+00,-1.14134794e+02,5.94246712e+00,1.29455673e+00,9.38332976e+00,-9.39831301e+00,1.36209959e+01,-6.46299023e+00,-8.15217190e+01,-6.82494622e+01,0.00000000e+00,0.00000000e+00,-1.71325582e+01,6.64123913e+00,1.08681162e+01,1.08046222e+01,7.80867196e+00,7.78078231e+00,5.85442573e+00,5.82940994e+00,1.93002958e+00,6.62826406e+00,-1.29784355e+01,2.39020522e+00,1.05702409e+00,1.07413407e+00,2.16454097e+01,5.26089708e+00,5.38479757e+00,1.46804556e+00,1.46654654e+00,0.00000000e+00,0.00000000e+00,1.69342001e+01,3.01070867e-01,-6.83362917e-01,6.16149258e-01,-3.15078391e-01,8.19195997e+02,7.45239977e+00,-1.07738942e+00,3.94026500e-01,-5.26519203e+00,-4.87128022e-01,1.17013679e+03,5.15015201e+00,4.18025773e+02,-1.61215058e+00,4.18025773e+02,-1.61215058e+00
"2003Q3",1.17198356e+05,5.39687015e+01,4.71090365e+01,4.36415004e+01,5.79398487e+01,2.85519130e+03,7.25000000e+00,6.52779082e+01,7.32921271e+01,1.01666667e+00,5.50000000e+00,4.12634277e+01,6.45333824e+01,2.28030007e-01,1.05004931e-01,4.47757576e+00,1.45300000e+01,5.41414037e+01,4.75221936e+01,4.37568660e+01,5.80724710e+01,6.53301554e+01,3.99763022e+01,6.61525548e+01,3.99159921e+02,3.77864854e+02,3.77600854e+02,3.86119684e+02,3.85246484e+02,4.06169173e+02,4.05940538e+02,4.29445320e+02,3.98840428e+02,1.49908177e+02,1.16716231e+03,4.17945373e+02,4.17865367e+02,7.95689413e+02,4.19196351e+02,4.16718265e+02,3.68828683e+02,3.71997658e+02,-2.25374797e+02,-1.47827805e+02,8.25974811e+02,5.02681990e+00,1.26583071e+01,9.76391855e+00,3.06620437e+00,-6.05359050e+00,4.89237410e+00,2.65200189e+00,4.34550713e+00,1.50039856e+00,-3.27066847e+01,4.05697609e+00,6.12700018e+00,5.77007118e+00,-2.01302978e+00,1.73022072e+01,1.14013381e+01,2.66020975e+01,3.50543281e+01,0.00000000e+00,0.00000000e+00,-2.69434256e+00,6.51478448e+00,1.22692268e+01,1.23401669e+01,6.09029622e+00,6.15845979e+00,5.93412291e+00,5.96607082e+00,2.35047716e+00,6.53026339e+00,-6.32283545e+01,3.94216713e+00,3.26492065e+00,3.27054518e+00,8.03905232e+00,8.92477539e-01,7.89054524e-01,4.76078161e+00,5.26887626e+00,0.00000000e+00,0.00000000e+00,3.87474500e+00,7.35215524e-01,-1.33381049e+00,8.01291839e-01,-6.60763155e-02,8.17805236e+02,8.16957552e+00,-9.31604838e-01,-4.02205657e-01,-5.56304557e+00,-6.09898162e-01,1.17145156e+03,5.25908547e+00,4.18861904e+02,-9.16530972e-01,4.18861904e+02,-9.16530972e-01
"2003Q4",1.19296385e+05,5.44762256e+01,4.79841471e+01,4.41881184e+01,5.83155431e+01,2.84230261e+03,7.25000000e+00,6.74492186e+01,7.34505110e+01,9.96666667e-01,5.50000000e+00,4.26348097e+01,7.18573217e+01,2.28030007e-01,1.05004931e-01,4.50196970e+00,1.38300000e+01,5.49143224e+01,4.86323111e+01,4.45948659e+01,5.86267856e+01,6.60780212e+01,4.35388741e+01,7.23121146e+01,4.00577420e+02,3.79761874e+02,3.78845594e+02,3.88428815e+02,3.87087069e+02,4.07119168e+02,4.06586866e+02,4.29661186e+02,3.99776438e+02,1.50451501e+02,1.16893663e+03,4.19083618e+02,4.21137500e+02,7.95236978e+02,4.28099168e+02,4.27468251e+02,3.77365420e+02,3.75267105e+02,-2.25374797e+02,-1.47827805e+02,8.24320744e+02,5.66999451e+00,7.58807977e+00,4.97895844e+00,9.23652490e+00,7.36233940e+00,3.79998127e+00,2.58531292e+00,8.63465035e-01,3.74404099e+00,2.17329477e+00,7.09727156e+00,4.55298261e+00,1.30885321e+01,-1.80973841e+00,3.56112660e+01,4.29999452e+01,3.41469452e+01,1.30777869e+01,0.00000000e+00,0.00000000e+00,-6.61626789e+00,5.95037599e+00,1.21802654e+01,1.22258349e+01,4.91926371e+00,4.85722027e+00,5.53600402e+00,5.55618493e+00,2.01477004e+00,5.96569185e+00,-5.53873121e+01,4.93283537e+00,3.67751669e+00,3.67958985e+00,1.76651053e+00,1.02644046e+01,1.03076918e+01,9.98384394e+00,9.54095325e+00,0.00000000e+00,0.00000000e+00,-2.16909542e+00,1.29962401e+00,-1.01810337e+00,9.84588867e-01,3.15035141e-01,8.16334737e+02,7.98600695e+00,-7.86207570e-01,-2.31895803e-01,-5.88199360e+00,-5.51495227e-01,1.17278869e+03,5.34851801e+00,4.19694682e+02,-6.11063457e-01,4.19694682e+02,-6.11063457e-01
"2004Q1",1.21369674e+05,5.60717923e+01,5.00990628e+01,4.59953339e+01,5.97002273e+01,2.71322374e+03,7.12088000e+00,6.56204219e+01,7.40840464e+01,1.00333333e+00,5.50000000e+00,4.57957980e+01,8.10885229e+01,2.28030007e-01,1.05004931e-01,4.07461539e+00,1.45000000e+01,5.57645983e+01,4.97136512e+01,4.56645956e+01,5.94470746e+01,6.69798455e+01,4.70090667e+01,7.80576127e+01,4.02113923e+02,3.82132328e+02,3.82853995e+02,3.90627957e+02,3.91400230e+02,4.08508641e+02,4.08933583e+02,4.30520021e+02,4.02663288e+02,1.40477636e+02,1.17065963e+03,4.20439176e+02,4.18388696e+02,7.90589278e+02,4.35744718e+02,4.39554143e+02,3.85034049e+02,3.82419234e+02,-2.25374797e+02,-1.47827805e+02,8.18995376e+02,6.14601303e+00,9.48181897e+00,1.60336064e+01,8.79656798e+00,1.72526449e+01,5.55789234e+00,9.38686557e+00,3.43534047e+00,1.15473986e+01,-3.98954613e+01,6.89200962e+00,5.42223098e+00,-1.09952161e+01,-1.85908012e+01,3.05822013e+01,4.83435696e+01,3.06745181e+01,2.86085165e+01,0.00000000e+00,0.00000000e+00,-2.13014738e+01,5.70830016e+00,1.01458190e+01,1.00980037e+01,6.53366971e+00,6.54346593e+00,4.95326813e+00,4.92488908e+00,1.72511017e+00,5.68917380e+00,-4.61409113e+01,5.99718110e+00,4.34919262e+00,4.31167922e+00,-7.95297061e+00,2.42791676e+01,2.40704657e+01,2.47546044e+00,2.12279232e+00,0.00000000e+00,0.00000000e+00,-1.19361606e+01,1.41257984e+00,-7.21776835e-01,1.16497780e+00,2.47602032e-01,8.14784334e+02,4.21104155e+00,-6.41519514e-01,-8.02573211e-02,-6.20161220e+00,-4.69500348e-01,1.17414266e+03,5.41586565e+00,4.20521280e+02,-8.21038324e-02,4.20521280e+02,-8.21038324e-02
